title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4059,เมื่อจักรวาลส่งรักแรกมาให้ฉัน,ROMANCE,"JEONG Halim,Gang",FRIDAY,3,21933,9.76,104241,4676,ONGOING,False,"อูจู เจอเอเลี่ยนที่ภูเขาหลังบ้าน ในปีเดียวกันกับพ่อผู้ซึ่งเป็นนักปีนเขา ได้เสียชีวิตลงบนยอดเขาเอเวอเรสต์ และนั่นก็ทำให้เธอกลายเป็นแฟนตัวยงของเอเลี่ยน และถูกบุลลี่จากการที่บอกคนอื่นไปว่าเธอเห็นเอเลี่ยน
ด้วยเหตุนั้น เธอจึงตัดสินใจเก็บซ่อนประสบการณ์นั้นไว้ และใช้ชีวิตเหมือนไม่มีอะไรเกิดขึ้น แต่แล้ววันหนึ่ง เธอก็เจอประกาศรับสมัครสมาชิกชมรมตามล่าหาเอเลี่ยน และในชมรมนั้นก็มี ฮีมุน หนุ่มฮอตของโรงเรียนอยู่ด้วย..."
4058,หยาดฝนเมื่อแรกรัก,BL_GL,WINSTON,TUESDAY,3,33930,9.92,279837,15385,ONGOING,True,‘คิมยุนซู’ เด็กหนุ่มวัย 17 ปี ใช้ชีวิตมาอย่างธรรมดาเรียบง่าย ยุนซูที่ไม่เคยสนใจเรื่องรักๆ ใคร่ๆ มาก่อน ทันทีที่เข้าเรียนชั้น ม.ปลาย ก็ดันตกหลุมรัก ‘ฮันคยองฮุน’ เพื่อนผู้ชายที่อยู่ห้องเดียวกัน ยุนซู ซึ่งเป็นคนเก็บซ่อนความรู้สึกของตัวเองไม่เก่ง สุดท้ายก็ทนไม่ไหวจนสารภาพรักกับคยองฮุนในวันเกิดของตัวเอง แต่คยองฮุนกลับเข้าใจว่าเป็นแค่เรื่องล้อเล่น...
4057,Hardcore Leveling Warrior,ACTION,คิมเซฮุน,SATURDAY,3,15567,9.23,145298,4013,ONGOING,True,"""นักสู้เลือดร้อน"" คือผู้เล่นอันดับหนึ่งของเกมที่ฮิตกันไปทั่วโลกอย่าง ลูซิด แอดแวนเจอร์ แต่เมื่อถูกผู้เล่นปริศนาฆ่าตายและถูกบังคับให้กลับไปเล่นเลเวล 1 เขาจึงต้องทำทุกอย่างเพื่อให้กลับไปอยู่จุดสูงสุดอีกครั้ง
เหล่าเพื่อนใหม่ อริเก่า พลังลี้ลับ และอดีตอันมืดมนจะคอยอยู่เคียงข้างเส้นทางการทวงคืนสิ่งที่เคยเป็นของเขา!"
4056,นางร้ายอย่างฉันนี่แหละ จะเป็นนางเอกให้ดู,ROMANTIC_FANTASY,"Yurinhae,Aka",FRIDAY,4,84512,9.79,582374,24496,ONGOING,False,"หลังจากฆ่าตัวตาย ฉันก็หลุดเข้าไปในนิยายที่อ่าน มิหนำซ้ำยังมาอยู่ในร่างของตัวร้ายที่ต้องตายอย่างทรมานอีกต่างหาก! แต่ลีซูยอนที่คอยแกล้งฉันกลับหลุดเข้ามาในฐานะนางเอกของเรื่องซะงั้น…
เอาล่ะ แบบนี้ก็เข้าท่าสิ คราวนี้ฉันนี่แหละที่จะทำให้เธอเหมือนตกนรกทั้งเป็น!"
4053,การเริ่มต้นของลูกผู้ชาย,ROMANCE,"Zhena,Hun",WEDNESDAY,3,39905,9.66,524153,13524,ONGOING,True,"ทักฮยอนเป็นชายหนุ่มธรรมดาผู้ตกที่นั่งลำบากเพราะได้รูมเมทเป็นผู้หญิง...แต่เพราะหญิงสาว 'เข้าใจอะไรผิดไป' เขาเลยจำต้องทำเป็นเหมือนกับว่าไม่รู้ร้อนรู้หนาวอะไรทั้งสิ้น 
นี่เขาจะผ่านมันไปได้หรือสนุกกับมันกันนะ?

เว็บตูนแนวตลกสุดเซ็กซี่จากผู้เขียนเรื่อง ""วีน เหวี่ยง WILD มัธยมสาวพันธุ์ดุ""!"
4052,หักเหลี่ยมรัก บัลลังก์เทา,ROMANTIC_FANTASY,Pierre,MONDAY,5,23759,7.59,212381,5922,ONGOING,False,เมื่อเจ้าหญิงแห่งเมืองเหนือ เอลิซาเบธ โรส ได้เสียพ่อไปเธอผู้เป็นทายาทเพียงหนึ่งเดียวจึงต้องสานต่อบัลลังก์ของพ่อเธอ โดยมีสาวใช้ผู้เป็นดั่งเพื่อนสนิทของเธอเป็นที่ปรึกษา แต่แล้วทุกอย่างก็เปลี่ยนไปเมื่อ วิเวียนได้พบกับ สมิธ เจ้าชายแห่งแดนใต้ และนี่ก็เป็นจุดเริ่มต้นของ วิเวียนที่เริ่มคิดจะปีนขึ้นไปผ่านบันไดชนชั้น เพื่อหลุดพ้นจากการเป็นแค่คนรับใช้ในวัง
4027,Tomorrow,FANTASY,Llama,WEDNESDAY,5,7490,9.49,67497,2078,ONGOING,False,จุนอุง คนว่างงานแห่งศตวรรษตกกระไดพลอยโจนจนเข้าขั้นโคม่า ถึงอย่างนั้น เขากลับโดนจ้างงานโดยกลุ่มยมทูตซะได้!
4026,ความรักครั้งนี้จะดีไหมนะ?,ROMANCE,"OMATO,Haneuhyeon",SATURDAY,6,31300,9.81,197277,8199,ONGOING,False,"""ความรักครั้งนี้จะโอเคจริง ๆ ไหมนะ?!""

ลีซีอน ครูธรรมดา ๆ ที่โรงเรียนมัธยมปลายเพิ่งเลิกกับแฟนเก่าที่ซ่อนความจริงว่าเขามีภรรยาแล้ว เธอไม่มีดวงเรื่องความรักและเจอแต่ผู้ชายขยะจนท้อแท้ วันหนึ่งเธอกลับบ้านแล้วพบกับพนักงานบริษัททำความสะอาดที่หล่อมาก ว่าแต่ผู้ชายคนนี้หน้าคุ้น ๆ เหมือนเคยเจอที่ไหนมาก่อนนะ..."
4009,"990,000 อดีตชาติ ช่วยฉันที",ACTION,"Invader,Marucomics",TUESDAY,5,68512,9.05,584241,16505,ONGOING,False,คุณจะรู้สึกอย่างไร หากครั้งหนึ่งเคยมีชีวิตในโลกที่เต็มไปด้วยความท้าทาย การผจญภัย และเหล่ามอนสเตอร์ ทว่าต้องกลายมาเป็นคนไร้ตัวตนที่ไม่มีใครแล
4008,Bloodhounds,ACTION,จองชาน,MONDAY,3,19768,8.9,258032,8946,ONGOING,True,เพราะทนไม่ได้ที่เห็นแม่ตัวเองต้องทำงานที่คาราโอเกะเพื่อหาเงินชดใช้แก๊งทวงหนี้ คิมกอนอู จึงตัดสินใจเข้าร่วมแก๊งหมาล่าเนื้อของเถ้าแก่ชเวเพื่อหาเงินมาชดใช้หนี้ โดยร่วมมือกับ ชเวอูจิน และ คิมฮยอนจู ที่คอยทำงานตามทวงหนี้รายวันด้วยจุดประสงค์บางอย่าง คุณธรรมในจิตใจของกอนอูเริ่มสั่นคลอนลงเรื่อยๆ กระทั่งเขากลายเป็นหมาล่าเหยื่อที่โหดเหี้ยม
4007,Standard Human,ACTION,"E.bamae,Sabassa",THURSDAY,3,24627,7.97,286613,7673,ONGOING,True,ยูโดจิน นักเรียน ม.ปลายธรรมดาที่ใช้ชีวิตลอยชายไปวันๆ จนกระทั่งวันหนึ่งเขาได้พูดคุยกับเพื่อนร่วมห้องสุดแปลก คิมซูจิน เธอบอกว่าเขาใช้ชีวิตอย่างไร้ค่า หลังจากนั้นเขาก็เริ่มพบกับเหตุการณ์ประหลาด เมื่อมีคนกลุ่มหนึ่งพยายามจะฆ่าเขา แต่โดจินกลับรอดตายอย่างปาฏิหาริย์ และพบว่าตัวเขานั้นถูกลิขิตให้เป็นมนุษย์ที่จะสามารถชักนำโลกให้เป็นไปตามที่พระเจ้ากำหนดไว้ เรื่องราวของมนุษย์ที่ถูกพระเจ้าลิขิตมาให้มีหน้าที่ชี้นำสรรพสิ่งบนโลก ยิ่งสำคัญต่อโลกมากเท่าไหร่ ก็ยิ่งตายยากมากเท่านั้น
3991,องค์ชายผู้เลอโฉม,ROMANTIC_FANTASY,Aheuredal,MONDAY,4,68478,9.86,467898,18006,ONGOING,False,"องค์ชายลำดับที่สี่ จอกยอน ตั้งใจเลือกเส้นทางที่ขัดกับชะตาที่ถูกกำหนดเอาไว้ของตน
เขาได้เข้าร่วมการแข่งขันชิงบัลลังก์เพื่อเป็นเทพและจักรพรรดิ
องค์ชายทั้งยี่สิบต้องฟาดฟันกันเพื่อบัลลังก์เพียงหนึ่งเดียว 
และในระหว่างการเผชิญหน้าอันดุเดือดนั้น การก่อกบฏก็ค่อยๆ คืบคลานเข้ามา"
3990,Savior,DRAMA,"Jo9,Junqi",SUNDAY,6,35394,9.58,344141,11679,ONGOING,False,เซยอน ในวัยเด็กได้พบกับ วอน เด็กสาววัยเดียวกันสภาพของวอนนั้นดูเหมือนคนไร้ที่พึ่ง เซยอน จึงตัดสินใจช่วยเหลือวอน จนกระทั่งทั้งสองโตขึ้น จนทั้งสองได้เข้ามหาลัย นั่นทำให้ความลับของวอนและเซยอนได้ต่อยๆ ถูกเปิดเผยออกมา
